rank,title_length,age_in_hours,points,comment_count
1,59,1,80,25
2,38,7,470,185
3,80,1,42,13
4,78,2,131,58
5,50,1,27,8
6,83,2,43,13
7,85,9,435,141
8,25,12,765,110
9,55,1,0,0
10,83,2,42,37
11,26,1,21,0
12,69,6,156,49
13,73,2,41,17
14,80,10,290,176
15,84,9,201,28
16,75,9,150,56
17,54,14,323,232
18,64,8,155,282
19,42,9,163,87
20,44,7,86,7
21,80,6,132,54
22,65,3,12,4
23,44,9,112,41
24,66,10,80,133
25,36,6,79,47
26,38,7,76,51
27,53,7,43,21
28,74,10,398,217
29,29,2,6,0
30,77,7,431,391
1,59,1,80,25
2,38,7,470,185
3,80,1,42,13
4,78,2,131,58
5,50,1,27,8
6,83,2,43,13
7,85,9,435,141
8,25,12,765,110
9,55,1,0,0
10,83,2,42,37
11,26,1,21,0
12,69,6,156,49
13,73,2,41,17
14,80,10,290,176
15,84,9,201,28
16,75,9,150,56
17,54,14,323,232
18,64,8,155,282
19,42,9,163,87
20,44,7,86,7
21,80,6,132,54
22,65,3,12,4
23,44,9,112,41
24,66,10,80,133
25,36,6,79,47
26,38,7,76,51
27,53,7,43,21
28,74,10,398,217
29,29,2,6,0
30,77,7,431,391
1,59,1,80,25
2,38,7,470,185
3,80,1,42,13
4,78,2,131,58
5,50,1,27,8
6,83,2,43,13
7,85,9,435,141
8,25,12,765,110
9,55,1,0,0
10,83,2,42,37
11,26,1,21,0
12,69,6,156,49
13,73,2,41,17
14,80,10,290,176
15,84,9,201,28
16,75,9,150,56
17,54,14,323,232
18,64,8,155,282
19,42,9,163,87
20,44,7,86,7
21,80,6,132,54
22,65,3,12,4
23,44,9,112,41
24,66,10,80,133
25,36,6,79,47
26,38,7,76,51
27,53,7,43,21
28,74,10,398,217
29,29,2,6,0
30,77,7,431,391
1,59,1,80,25
2,38,7,470,185
3,80,1,42,13
4,78,2,131,58
5,50,1,27,8
6,83,2,43,13
7,85,9,435,141
8,25,12,765,110
9,55,1,0,0
10,83,2,42,37
11,26,1,21,0
12,69,6,156,49
13,73,2,41,17
14,80,10,290,176
15,84,9,201,28
16,75,9,150,56
17,54,14,323,232
18,64,8,155,282
19,42,9,163,87
20,44,7,86,7
21,80,6,132,54
22,65,3,12,4
23,44,9,112,41
24,66,10,80,133
25,36,6,79,47
26,38,7,76,51
27,53,7,43,21
28,74,10,398,217
29,29,2,6,0
30,77,7,431,391
1,59,1,80,25
2,38,7,470,185
3,80,1,42,13
4,78,2,131,58
5,50,1,27,8
6,83,2,43,13
7,85,9,435,141
8,25,12,765,110
9,55,1,0,0
10,83,2,42,37
11,26,1,21,0
12,69,6,156,49
13,73,2,41,17
14,80,10,290,176
15,84,9,201,28
16,75,9,150,56
17,54,14,323,232
18,64,8,155,282
19,42,9,163,87
20,44,7,86,7
21,80,6,132,54
22,65,3,12,4
23,44,9,112,41
24,66,10,80,133
25,36,6,79,47
26,38,7,76,51
27,53,7,43,21
28,74,10,398,217
29,29,2,6,0
30,77,7,431,391
