bucket_knn,dimension,n,k,time
bucket_knn,1,1000,100,368
bucket_knn,1,1000,200,400
bucket_knn,1,1000,300,482
bucket_knn,1,1000,400,590
bucket_knn,1,1000,500,748
bucket_knn,1,2000,100,320
bucket_knn,1,2000,200,337
bucket_knn,1,2000,300,519
bucket_knn,1,2000,400,572
bucket_knn,1,2000,500,754
bucket_knn,1,3000,100,412
bucket_knn,1,3000,200,411
bucket_knn,1,3000,300,485
bucket_knn,1,3000,400,681
bucket_knn,1,3000,500,702
bucket_knn,2,1000,100,870
bucket_knn,2,1000,200,885
bucket_knn,2,1000,300,864
bucket_knn,2,1000,400,866
bucket_knn,2,1000,500,861
bucket_knn,2,2000,100,898
bucket_knn,2,2000,200,904
bucket_knn,2,2000,300,897
bucket_knn,2,2000,400,905
bucket_knn,2,2000,500,903
bucket_knn,2,3000,100,882
bucket_knn,2,3000,200,868
bucket_knn,2,3000,300,869
bucket_knn,2,3000,400,875
bucket_knn,2,3000,500,874
bucket_knn,3,1000,100,1058
bucket_knn,3,1000,200,1065
bucket_knn,3,1000,300,1063
bucket_knn,3,1000,400,1061
bucket_knn,3,1000,500,1060
bucket_knn,3,2000,100,1043
bucket_knn,3,2000,200,1041
bucket_knn,3,2000,300,1048
bucket_knn,3,2000,400,1040
bucket_knn,3,2000,500,1044
bucket_knn,3,3000,100,1073
bucket_knn,3,3000,200,1072
bucket_knn,3,3000,300,1072
bucket_knn,3,3000,400,1062
bucket_knn,3,3000,500,1068
bucket_knn,4,1000,100,1245
bucket_knn,4,1000,200,1241
bucket_knn,4,1000,300,1245
bucket_knn,4,1000,400,1247
bucket_knn,4,1000,500,1332
bucket_knn,4,2000,100,1287
bucket_knn,4,2000,200,1237
bucket_knn,4,2000,300,1242
bucket_knn,4,2000,400,1245
bucket_knn,4,2000,500,1253
bucket_knn,4,3000,100,1244
bucket_knn,4,3000,200,1237
bucket_knn,4,3000,300,1237
bucket_knn,4,3000,400,1240
bucket_knn,4,3000,500,1243
bucket_knn,5,1000,100,1347
bucket_knn,5,1000,200,1338
bucket_knn,5,1000,300,1339
bucket_knn,5,1000,400,1353
bucket_knn,5,1000,500,1377
bucket_knn,5,2000,100,1334
bucket_knn,5,2000,200,1332
bucket_knn,5,2000,300,1325
bucket_knn,5,2000,400,1328
bucket_knn,5,2000,500,1327
bucket_knn,5,3000,100,1330
bucket_knn,5,3000,200,1332
bucket_knn,5,3000,300,1315
bucket_knn,5,3000,400,1320
bucket_knn,5,3000,500,1331
bucket_knn,6,1000,100,1327
bucket_knn,6,1000,200,1317
bucket_knn,6,1000,300,1318
bucket_knn,6,1000,400,1325
bucket_knn,6,1000,500,1335
bucket_knn,6,2000,100,1370
bucket_knn,6,2000,200,1317
bucket_knn,6,2000,300,1339
bucket_knn,6,2000,400,1330
bucket_knn,6,2000,500,1341
bucket_knn,6,3000,100,1347
bucket_knn,6,3000,200,1333
bucket_knn,6,3000,300,1331
bucket_knn,6,3000,400,1386
bucket_knn,6,3000,500,1328
bucket_knn,7,1000,100,1331
bucket_knn,7,1000,200,1337
bucket_knn,7,1000,300,1331
bucket_knn,7,1000,400,1337
bucket_knn,7,1000,500,1328
bucket_knn,7,2000,100,1343
bucket_knn,7,2000,200,1337
bucket_knn,7,2000,300,1328
bucket_knn,7,2000,400,1330
bucket_knn,7,2000,500,1336
bucket_knn,7,3000,100,1340
bucket_knn,7,3000,200,1350
bucket_knn,7,3000,300,1379
bucket_knn,7,3000,400,1351
bucket_knn,7,3000,500,1347
