dumb_knn,dimension,n,k,time
dumb_knn,1,1000,100,58
dumb_knn,1,1000,200,57
dumb_knn,1,1000,300,49
dumb_knn,1,1000,400,44
dumb_knn,1,1000,500,33
dumb_knn,1,1000,600,32
dumb_knn,1,1000,700,25
dumb_knn,1,1000,800,24
dumb_knn,1,1000,900,19
dumb_knn,1,1000,1000,0
dumb_knn,1,2000,100,42
dumb_knn,1,2000,200,52
dumb_knn,1,2000,300,61
dumb_knn,1,2000,400,69
dumb_knn,1,2000,500,75
dumb_knn,1,2000,600,74
dumb_knn,1,2000,700,66
dumb_knn,1,2000,800,69
dumb_knn,1,2000,900,61
dumb_knn,1,2000,1000,55
dumb_knn,1,3000,100,57
dumb_knn,1,3000,200,70
dumb_knn,1,3000,300,82
dumb_knn,1,3000,400,95
dumb_knn,1,3000,500,101
dumb_knn,1,3000,600,107
dumb_knn,1,3000,700,108
dumb_knn,1,3000,800,109
dumb_knn,1,3000,900,107
dumb_knn,1,3000,1000,104
dumb_knn,1,4000,100,69
dumb_knn,1,4000,200,85
dumb_knn,1,4000,300,99
dumb_knn,1,4000,400,113
dumb_knn,1,4000,500,123
dumb_knn,1,4000,600,126
dumb_knn,1,4000,700,125
dumb_knn,1,4000,800,134
dumb_knn,1,4000,900,144
dumb_knn,1,4000,1000,146
dumb_knn,1,5000,100,87
dumb_knn,1,5000,200,97
dumb_knn,1,5000,300,114
dumb_knn,1,5000,400,121
dumb_knn,1,5000,500,137
dumb_knn,1,5000,600,145
dumb_knn,1,5000,700,142
dumb_knn,1,5000,800,153
dumb_knn,1,5000,900,157
dumb_knn,1,5000,1000,166
dumb_knn,1,6000,100,97
dumb_knn,1,6000,200,112
dumb_knn,1,6000,300,120
dumb_knn,1,6000,400,143
dumb_knn,1,6000,500,150
dumb_knn,1,6000,600,170
dumb_knn,1,6000,700,175
dumb_knn,1,6000,800,194
dumb_knn,1,6000,900,197
dumb_knn,1,6000,1000,213
dumb_knn,1,7000,100,114
dumb_knn,1,7000,200,125
dumb_knn,1,7000,300,140
dumb_knn,1,7000,400,150
dumb_knn,1,7000,500,162
dumb_knn,1,7000,600,169
dumb_knn,1,7000,700,180
dumb_knn,1,7000,800,194
dumb_knn,1,7000,900,200
dumb_knn,1,7000,1000,208
dumb_knn,2,1000,100,35
dumb_knn,2,1000,200,41
dumb_knn,2,1000,300,40
dumb_knn,2,1000,400,46
dumb_knn,2,1000,500,40
dumb_knn,2,1000,600,42
dumb_knn,2,1000,700,34
dumb_knn,2,1000,800,38
dumb_knn,2,1000,900,31
dumb_knn,2,1000,1000,0
dumb_knn,2,2000,100,59
dumb_knn,2,2000,200,66
dumb_knn,2,2000,300,72
dumb_knn,2,2000,400,77
dumb_knn,2,2000,500,82
dumb_knn,2,2000,600,81
dumb_knn,2,2000,700,79
dumb_knn,2,2000,800,86
dumb_knn,2,2000,900,82
dumb_knn,2,2000,1000,76
dumb_knn,2,3000,100,84
dumb_knn,2,3000,200,96
dumb_knn,2,3000,300,101
dumb_knn,2,3000,400,105
dumb_knn,2,3000,500,110
dumb_knn,2,3000,600,116
dumb_knn,2,3000,700,120
dumb_knn,2,3000,800,116
dumb_knn,2,3000,900,111
dumb_knn,2,3000,1000,111
dumb_knn,2,4000,100,107
dumb_knn,2,4000,200,121
dumb_knn,2,4000,300,128
dumb_knn,2,4000,400,128
dumb_knn,2,4000,500,135
dumb_knn,2,4000,600,140
dumb_knn,2,4000,700,145
dumb_knn,2,4000,800,150
dumb_knn,2,4000,900,156
dumb_knn,2,4000,1000,162
dumb_knn,2,5000,100,131
dumb_knn,2,5000,200,146
dumb_knn,2,5000,300,160
dumb_knn,2,5000,400,162
dumb_knn,2,5000,500,165
dumb_knn,2,5000,600,170
dumb_knn,2,5000,700,175
dumb_knn,2,5000,800,178
dumb_knn,2,5000,900,181
dumb_knn,2,5000,1000,190
dumb_knn,2,6000,100,151
dumb_knn,2,6000,200,169
dumb_knn,2,6000,300,179
dumb_knn,2,6000,400,187
dumb_knn,2,6000,500,188
dumb_knn,2,6000,600,193
dumb_knn,2,6000,700,197
dumb_knn,2,6000,800,206
dumb_knn,2,6000,900,210
dumb_knn,2,6000,1000,213
dumb_knn,2,7000,100,169
dumb_knn,2,7000,200,187
dumb_knn,2,7000,300,201
dumb_knn,2,7000,400,212
dumb_knn,2,7000,500,216
dumb_knn,2,7000,600,224
dumb_knn,2,7000,700,224
dumb_knn,2,7000,800,229
dumb_knn,2,7000,900,235
dumb_knn,2,7000,1000,239
dumb_knn,3,1000,100,39
dumb_knn,3,1000,200,45
dumb_knn,3,1000,300,42
dumb_knn,3,1000,400,52
dumb_knn,3,1000,500,44
dumb_knn,3,1000,600,51
dumb_knn,3,1000,700,40
dumb_knn,3,1000,800,45
dumb_knn,3,1000,900,37
dumb_knn,3,1000,1000,0
dumb_knn,3,2000,100,72
dumb_knn,3,2000,200,77
dumb_knn,3,2000,300,85
dumb_knn,3,2000,400,89
dumb_knn,3,2000,500,87
dumb_knn,3,2000,600,83
dumb_knn,3,2000,700,89
dumb_knn,3,2000,800,101
dumb_knn,3,2000,900,97
dumb_knn,3,2000,1000,90
dumb_knn,3,3000,100,100
dumb_knn,3,3000,200,112
dumb_knn,3,3000,300,115
