kd_tree,dimension,n,k,time
kd_tree,1,10000,100,111
kd_tree,1,10000,200,122
kd_tree,1,10000,300,129
kd_tree,1,10000,400,139
kd_tree,1,10000,500,143
kd_tree,1,10000,600,144
kd_tree,1,10000,700,147
kd_tree,1,10000,800,148
kd_tree,1,10000,900,150
kd_tree,1,10000,1000,148
kd_tree,1,20000,100,211
kd_tree,1,20000,200,231
kd_tree,1,20000,300,250
kd_tree,1,20000,400,262
kd_tree,1,20000,500,270
kd_tree,1,20000,600,273
kd_tree,1,20000,700,278
kd_tree,1,20000,800,282
kd_tree,1,20000,900,293
kd_tree,1,20000,1000,286
kd_tree,1,30000,100,321
kd_tree,1,30000,200,355
kd_tree,1,30000,300,376
kd_tree,1,30000,400,401
kd_tree,1,30000,500,414
kd_tree,1,30000,600,423
kd_tree,1,30000,700,436
kd_tree,1,30000,800,432
kd_tree,1,30000,900,437
kd_tree,1,30000,1000,438
kd_tree,1,40000,100,471
kd_tree,1,40000,200,517
kd_tree,1,40000,300,556
kd_tree,1,40000,400,592
kd_tree,1,40000,500,609
kd_tree,1,40000,600,614
kd_tree,1,40000,700,635
kd_tree,1,40000,800,636
kd_tree,1,40000,900,640
kd_tree,1,40000,1000,645
kd_tree,1,50000,100,614
kd_tree,1,50000,200,650
kd_tree,1,50000,300,693
kd_tree,1,50000,400,738
kd_tree,1,50000,500,775
kd_tree,1,50000,600,779
kd_tree,1,50000,700,788
kd_tree,1,50000,800,798
kd_tree,1,50000,900,814
kd_tree,1,50000,1000,821
kd_tree,1,60000,100,646
kd_tree,1,60000,200,706
kd_tree,1,60000,300,751
kd_tree,1,60000,400,803
kd_tree,1,60000,500,827
kd_tree,1,60000,600,838
kd_tree,1,60000,700,855
kd_tree,1,60000,800,868
kd_tree,1,60000,900,875
kd_tree,1,60000,1000,883
kd_tree,1,70000,100,784
kd_tree,1,70000,200,861
kd_tree,1,70000,300,915
kd_tree,1,70000,400,977
kd_tree,1,70000,500,1012
kd_tree,1,70000,600,1018
kd_tree,1,70000,700,1040
kd_tree,1,70000,800,1054
kd_tree,1,70000,900,1063
kd_tree,1,70000,1000,1073
kd_tree,2,10000,100,60
kd_tree,2,10000,200,85
kd_tree,2,10000,300,102
kd_tree,2,10000,400,116
kd_tree,2,10000,500,127
kd_tree,2,10000,600,136
kd_tree,2,10000,700,144
kd_tree,2,10000,800,151
kd_tree,2,10000,900,156
kd_tree,2,10000,1000,162
kd_tree,2,20000,100,86
kd_tree,2,20000,200,125
kd_tree,2,20000,300,154
kd_tree,2,20000,400,175
kd_tree,2,20000,500,190
kd_tree,2,20000,600,208
kd_tree,2,20000,700,222
kd_tree,2,20000,800,235
kd_tree,2,20000,900,246
kd_tree,2,20000,1000,254
kd_tree,2,30000,100,107
kd_tree,2,30000,200,159
kd_tree,2,30000,300,196
kd_tree,2,30000,400,223
kd_tree,2,30000,500,247
kd_tree,2,30000,600,269
kd_tree,2,30000,700,287
kd_tree,2,30000,800,305
kd_tree,2,30000,900,319
kd_tree,2,30000,1000,334
kd_tree,2,40000,100,128
kd_tree,2,40000,200,191
kd_tree,2,40000,300,237
kd_tree,2,40000,400,271
kd_tree,2,40000,500,300
kd_tree,2,40000,600,329
kd_tree,2,40000,700,353
kd_tree,2,40000,800,378
kd_tree,2,40000,900,429
kd_tree,2,40000,1000,417
kd_tree,2,50000,100,156
kd_tree,2,50000,200,225
kd_tree,2,50000,300,275
kd_tree,2,50000,400,321
kd_tree,2,50000,500,354
kd_tree,2,50000,600,391
kd_tree,2,50000,700,423
kd_tree,2,50000,800,449
kd_tree,2,50000,900,471
kd_tree,2,50000,1000,498
kd_tree,2,60000,100,163
kd_tree,2,60000,200,249
kd_tree,2,60000,300,308
kd_tree,2,60000,400,358
kd_tree,2,60000,500,403
kd_tree,2,60000,600,439
kd_tree,2,60000,700,471
kd_tree,2,60000,800,504
kd_tree,2,60000,900,529
kd_tree,2,60000,1000,552
kd_tree,2,70000,100,178
kd_tree,2,70000,200,268
kd_tree,2,70000,300,334
kd_tree,2,70000,400,389
kd_tree,2,70000,500,433
kd_tree,2,70000,600,478
kd_tree,2,70000,700,518
kd_tree,2,70000,800,549
kd_tree,2,70000,900,578
kd_tree,2,70000,1000,605
kd_tree,3,10000,100,45
kd_tree,3,10000,200,68
kd_tree,3,10000,300,85
kd_tree,3,10000,400,101
kd_tree,3,10000,500,112
kd_tree,3,10000,600,124
kd_tree,3,10000,700,134
kd_tree,3,10000,800,142
kd_tree,3,10000,900,151
kd_tree,3,10000,1000,161
kd_tree,3,20000,100,56
kd_tree,3,20000,200,87
kd_tree,3,20000,300,124
kd_tree,3,20000,400,161
kd_tree,3,20000,500,160
kd_tree,3,20000,600,175
kd_tree,3,20000,700,186
kd_tree,3,20000,800,212
kd_tree,3,20000,900,215
kd_tree,3,20000,1000,224
kd_tree,3,30000,100,76
kd_tree,3,30000,200,120
kd_tree,3,30000,300,152
kd_tree,3,30000,400,182
kd_tree,3,30000,500,204
kd_tree,3,30000,600,227
kd_tree,3,30000,700,250
kd_tree,3,30000,800,266
kd_tree,3,30000,900,283
kd_tree,3,30000,1000,312
kd_tree,3,40000,100,91
kd_tree,3,40000,200,141
kd_tree,3,40000,300,183
kd_tree,3,40000,400,217
kd_tree,3,40000,500,245
kd_tree,3,40000,600,272
kd_tree,3,40000,700,296
kd_tree,3,40000,800,321
kd_tree,3,40000,900,343
kd_tree,3,40000,1000,364
kd_tree,3,50000,100,92
kd_tree,3,50000,200,146
kd_tree,3,50000,300,189
kd_tree,3,50000,400,226
kd_tree,3,50000,500,256
kd_tree,3,50000,600,287
kd_tree,3,50000,700,315
kd_tree,3,50000,800,341
kd_tree,3,50000,900,364
kd_tree,3,50000,1000,387
kd_tree,3,60000,100,96
kd_tree,3,60000,200,153
kd_tree,3,60000,300,199
kd_tree,3,60000,400,240
kd_tree,3,60000,500,272
kd_tree,3,60000,600,306
kd_tree,3,60000,700,335
kd_tree,3,60000,800,364
kd_tree,3,60000,900,389
kd_tree,3,60000,1000,411
kd_tree,3,70000,100,107
kd_tree,3,70000,200,169
kd_tree,3,70000,300,219
kd_tree,3,70000,400,265
kd_tree,3,70000,500,300
kd_tree,3,70000,600,338
kd_tree,3,70000,700,370
kd_tree,3,70000,800,402
kd_tree,3,70000,900,429
kd_tree,3,70000,1000,454
kd_tree,4,10000,100,52
kd_tree,4,10000,200,81
kd_tree,4,10000,300,102
kd_tree,4,10000,400,121
kd_tree,4,10000,500,136
kd_tree,4,10000,600,151
kd_tree,4,10000,700,164
kd_tree,4,10000,800,176
kd_tree,4,10000,900,185
kd_tree,4,10000,1000,193
kd_tree,4,20000,100,70
kd_tree,4,20000,200,110
kd_tree,4,20000,300,142
kd_tree,4,20000,400,169
kd_tree,4,20000,500,193
kd_tree,4,20000,600,217
kd_tree,4,20000,700,238
kd_tree,4,20000,800,256
kd_tree,4,20000,900,276
kd_tree,4,20000,1000,289
kd_tree,4,30000,100,81
kd_tree,4,30000,200,129
kd_tree,4,30000,300,167
kd_tree,4,30000,400,200
kd_tree,4,30000,500,229
kd_tree,4,30000,600,260
kd_tree,4,30000,700,284
kd_tree,4,30000,800,309
kd_tree,4,30000,900,330
kd_tree,4,30000,1000,360
kd_tree,4,40000,100,93
kd_tree,4,40000,200,148
